year,month,PM25,PM25_clean,Ozone,PM25_Availability,PM25_WUstl,Time,U10,V10,WS,WD,SP,BLH,TCC,T2M,D2M,RH,SSR,TP,O3
1998,1,,,,,48.018234,01-01-1998 00:00,0.16697001,-1.5270219,1.537117,96.244446,1015.43384,315.49786,0.43266338,290.62,286.33142,75.92231,3.5396562,0.001632615,0.005515723
1998,2,,,,,43.61125,01-02-1998 00:00,0.58460957,-0.28510457,0.65177464,153.99557,1013.7643,432.49707,0.3264032,295.256,289.87756,71.54717,4.3129625,0.000345718,0.005502185
1998,3,,,,,26.234613,01-03-1998 00:00,0.87971544,0.18242162,0.89944357,191.64243,1011.0421,518.39636,0.2989172,297.77167,291.58734,68.46858,5.0304036,0.004833542,0.005625519
1998,4,,,,,13.143021,01-04-1998 00:00,0.41077572,2.0658236,2.108426,258.93488,1007.30994,537.0145,0.36584508,301.5705,297.11472,76.831436,5.2021008,0.003350824,0.005903244
1998,5,,,,,8.999002,01-05-1998 00:00,-0.21503073,2.3964663,2.4117455,275.32635,1002.86505,567.69116,0.6076274,303.31427,299.14392,78.40612,4.6185308,0.005103216,0.005880827
1998,6,,,,,8.560114,01-06-1998 00:00,-0.3720783,3.4199448,3.4420395,276.2348,999.1888,632.7014,0.8224085,304.14252,300.04663,78.87428,4.1547265,0.005504083,0.005803656
1998,7,,,,,9.552992,01-07-1998 00:00,0.14389634,2.6034517,2.6099365,266.9026,999.8147,540.6267,0.9277509,302.33456,299.6433,85.446686,3.5213685,0.009176906,0.005769636
1998,8,,,,,7.2954416,01-08-1998 00:00,0.16893077,2.3482285,2.356109,265.93307,1002.21674,465.5857,0.9761234,302.03296,299.57687,86.6122,3.2291799,0.009962566,0.005731946
1998,9,,,,,8.745727,01-09-1998 00:00,-0.8500833,1.4434762,1.6770413,300.5027,1004.8353,389.30536,0.81702834,301.5569,299.0385,86.24912,3.359923,0.009658117,0.005708755
1998,10,,,,,19.630484,01-10-1998 00:00,-0.4171701,0.41563958,0.5896038,315.10193,1007.3565,355.3994,0.45936424,301.22516,298.17908,83.550995,3.661598,0.002816887,0.005506334
1998,11,,,,,31.872078,01-11-1998 00:00,-0.13495111,-1.5962625,1.6022379,85.18301,1010.63635,362.68927,0.29262668,297.95605,293.8942,78.154465,3.519992,0.002186931,0.0051759
1998,12,,,,,62.21624,01-12-1998 00:00,0.6883829,-1.896133,2.0173368,109.95364,1014.3327,343.96982,0.08843613,292.85327,287.17712,69.74962,3.9836853,0,0.005149974
1999,1,,,,,61.71382,01-01-1999 00:00,0.58940864,-1.7767177,1.8723058,108.35675,1013.213,351.96002,0.116592914,291.43588,285.0174,66.16215,4.344761,3.65E-07,0.004980562
1999,2,,,,,52.80812,01-02-1999 00:00,0.5941439,-1.2438276,1.3790553,115.49379,1013.21606,409.20215,0.11937261,296.34393,288.77094,62.40663,4.919999,7.00E-07,0.005095465
1999,3,,,,,27.007406,01-03-1999 00:00,0.96200794,0.87459594,1.3023236,222.06833,1005.5284,634.68896,0.07301125,300.86743,292.00034,58.50102,5.621306,2.54E-05,0.005269205
1999,4,,,,,11.442878,01-04-1999 00:00,0.7253281,3.7293339,3.800465,259.03577,1003.41437,738.92004,0.15616047,303.61975,297.73383,70.84467,5.66189,0.00038925,0.005643335
1999,5,,,,,13.04302,01-05-1999 00:00,-0.006541669,2.5397034,2.5437326,270.31494,1000.77844,609.5315,0.5510984,302.5498,298.2122,77.52064,4.4530277,0.007584862,0.005875411
1999,6,,,,,11.735043,01-06-1999 00:00,-0.12779605,2.4010925,2.4066403,273.10114,999.33875,586.13574,0.78651816,302.37454,299.049,82.30579,3.9017181,0.006768003,0.005784246
1999,7,,,,,13.232621,01-07-1999 00:00,-0.26021475,1.9425249,1.966394,277.65414,997.9462,487.4254,0.9699283,301.7992,299.15082,85.61068,3.4106886,0.009504531,0.005794818
1999,8,,,,,11.771226,01-08-1999 00:00,-0.5221369,1.6969585,1.7802396,287.16992,1000.2301,467.62482,0.9674355,301.57404,299.02725,86.10579,3.412064,0.007742751,0.005842404
1999,9,,,,,11.288604,01-09-1999 00:00,-1.0941257,1.7713833,2.0853748,301.6825,1003.56274,415.6809,0.898352,300.91,298.70026,87.78543,3.1948693,0.010795247,0.005774585
1999,10,,,,,21.441025,01-10-1999 00:00,-0.60147965,-0.03309375,0.6038794,93.10426,1007.62946,403.79492,0.6214169,300.3449,297.46747,84.30132,3.5382862,0.004815053,0.005641713
1999,11,,,,,52.283047,01-11-1999 00:00,0.35210317,-1.2263546,1.2774354,105.950714,1012.164,388.73627,0.15820187,296.6539,290.76578,69.53464,4.1457148,0.000110766,0.005555026
1999,12,,,,,46.739315,01-12-1999 00:00,0.021582175,-1.7428994,1.7431647,90.69926,1014.575,422.31497,0.08294919,293.60416,287.19797,66.66767,3.8762481,0,0.005482629
2000,1,,,,,55.935184,01-01-2000 00:00,0.3575706,-1.0578327,1.1172235,108.71446,1013.48065,367.40527,0.06592983,292.21753,286.09094,67.60722,4.21941,0.000129422,0.005366646
2000,2,,,,,49.095585,01-02-2000 00:00,-0.0934,-0.3912356,0.4033609,76.352806,1012.0559,374.02533,0.4164437,294.1321,288.83432,71.71141,3.629176,0.002197454,0.005681304
2000,3,,,,,29.614101,01-03-2000 00:00,0.45360404,0.97721493,1.0776012,245.16919,1008.1367,652.3451,0.16181934,299.95764,291.7065,60.593548,5.543681,0.000113698,0.005670105
2000,4,,,,,14.154131,01-04-2000 00:00,0.5558714,3.7912483,3.8334782,261.7131,1003.89795,745.84045,0.2800433,302.58826,297.40118,73.68749,5.3297358,0.002469418,0.006033869
2000,5,,,,,14.65171,01-05-2000 00:00,0.04785341,2.4482002,2.4521499,269.0561,1001.70276,598.3224,0.58375776,303.03033,298.2397,75.52672,4.7387967,0.003923136,0.006041481
2000,6,,,,,14.993304,01-06-2000 00:00,-0.3802011,2.6204271,2.6496143,278.297,999.61755,576.83716,0.89075315,302.45795,299.2336,82.80913,3.9233718,0.007178186,0.005885237
2000,7,,,,,10.383048,01-07-2000 00:00,-0.11477226,2.0578012,2.0640082,273.25272,998.6131,499.5183,0.91904426,301.79172,298.88574,84.31212,3.620122,0.009087428,0.005854035
2000,8,,,,,12.495869,01-08-2000 00:00,-0.6092798,1.6444921,1.7547548,290.36566,1000.3743,503.9336,0.94708216,302.09927,299.14572,84.10732,3.7232475,0.006998871,0.005824865
2000,9,,,,,22.433334,01-09-2000 00:00,0.10954988,1.589962,1.5961587,266.14,1003.84937,438.59546,0.8240605,301.2662,298.51166,85.01925,3.3580952,0.010570835,0.005777648
2000,10,,,,,32.29373,01-10-2000 00:00,-0.026763123,-0.39995384,0.402046,86.23519,1006.95233,396.10022,0.48693168,300.597,297.04486,80.982254,3.9358828,0.005350539,0.005580897
2000,11,,,,,59.42849,01-11-2000 00:00,0.61696005,-0.4022609,0.73784596,146.90524,1011.80615,366.4386,0.20275939,297.1452,292.4336,74.94687,3.9952912,0.00017236,0.005269809
2000,12,,,,,80.56695,01-12-2000 00:00,0.6658583,-1.8650522,1.9811926,109.659996,1013.73486,372.791,0.046674415,292.1303,285.45477,65.19905,4.012473,0,0.005335646
2001,1,,,,,70.830765,01-01-2001 00:00,0.7263472,-1.4559333,1.6281989,116.494194,1013.0903,350.42877,0.13790941,290.49524,283.23474,62.359413,4.3577166,7.44E-06,0.005300409
2001,2,,,,,59.38091,01-02-2001 00:00,0.5304832,-0.09572542,0.544544,169.55563,1010.39526,429.05054,0.14261699,295.4254,288.49213,64.82136,4.7196765,0.000645785,0.00534657
2001,3,,,,,32.25,01-03-2001 00:00,1.0193954,0.7843765,1.2872252,217.48776,1008.84204,622.47437,0.23564148,299.54465,292.5224,65.33032,5.308617,0.001158458,0.005749439
2001,4,,,,,14.492592,01-04-2001 00:00,1.0797113,2.6288214,2.8422744,247.70898,1006.1387,686.1189,0.33533192,302.6648,296.1875,68.191154,5.527908,0.001102879,0.005883963
2001,5,,,,,13.581909,01-05-2001 00:00,-0.3930515,2.0079079,2.054061,281.43542,1001.23083,578.57935,0.5731228,302.67773,298.57135,78.61513,4.5748534,0.008002933,0.006131957
2001,6,,,,,10.695299,01-06-2001 00:00,-0.5546539,2.0737143,2.1528087,285.00754,997.9777,478.4323,0.9633038,301.30276,298.79355,86.27237,2.760044,0.012492724,0.005919742
2001,7,,,,,10.95171,01-07-2001 00:00,-0.73487437,2.147725,2.2772737,288.9293,998.49615,534.4745,0.9485419,301.65308,299.02618,85.70528,3.2212002,0.013281178,0.005885461
2001,8,,,,,12.109545,01-08-2001 00:00,-1.3218699,1.1941671,1.7840254,317.92697,1000.2219,454.01172,0.94286335,302.02466,299.25812,85.03615,3.5088928,0.006851617,0.005868518
2001,9,,,,,24.93262,01-09-2001 00:00,-0.3511045,1.3859916,1.4302436,284.24792,1004.4426,397.48804,0.78208166,301.7566,298.88043,84.457535,3.705252,0.008104526,0.005837847
2001,10,,,,,22.362108,01-10-2001 00:00,-0.49848527,-0.083744586,0.5057028,9.558211,1008.3452,348.58392,0.5774674,300.40616,297.54355,84.38274,3.438252,0.004746591,0.005576448
2001,11,,,,,49.62251,01-11-2001 00:00,-0.52249837,-0.7107216,0.8822684,53.697205,1012.8231,332.82233,0.37985164,297.59116,293.83948,79.61247,3.3549592,0.001156671,0.005305413
2001,12,,,,,78.631195,01-12-2001 00:00,0.36719114,-1.7782183,1.8159845,101.65849,1016.1434,351.17358,0.2409333,292.36945,286.6775,69.5853,3.9351761,4.94E-09,0.005097977
2002,1,,,,,67.120224,01-01-2002 00:00,0.029064532,-0.46014816,0.4613713,93.83791,1014.5493,383.4751,0.20828545,292.66385,287.13248,70.36923,3.9113944,0.00102695,0.005041182
2002,2,,,,,66.35513,01-02-2002 00:00,0.62386024,-0.99743557,1.1769841,121.97891,1014.60046,441.13666,0.14933205,295.3405,287.69373,61.887012,4.8636975,6.35E-05,0.005239267
2002,3,,,,,31.27621,01-03-2002 00:00,0.71998894,1.2062016,1.4050393,239.18304,1009.1376,660.76294,0.25376123,300.23804,292.69507,63.393127,5.285174,0.000603204,0.005656333
2002,4,,,,,13.423931,01-04-2002 00:00,0.09584403,3.3016253,3.3072405,268.42798,1005.6585,685.78265,0.34420204,302.2491,296.96765,73.21957,5.2240224,0.002350897,0.005765215
2002,5,,,,,14.796296,01-05-2002 00:00,-0.678907,1.9012175,2.033825,290.1314,1000.5578,599.3711,0.4375673,303.76315,298.35727,72.926254,4.7373633,0.006303627,0.006005769
2002,6,,,,,14.8430195,01-06-2002 00:00,-0.15391898,2.393179,2.4031262,273.80603,999.7754,515.48535,0.8891579,302.41876,299.45114,84.07207,3.3257947,0.015893538,0.005884436
2002,7,,,,,24.538033,01-07-2002 00:00,0.59575516,2.059723,2.1453257,253.87442,998.8313,488.02344,0.9571774,303.07977,299.7058,82.152664,3.783321,0.007737928,0.005749293
2002,8,,,,,14.745156,01-08-2002 00:00,-0.8582926,1.5487642,1.775304,298.9848,1000.2675,435.26154,0.9570411,301.65112,298.96948,85.42723,3.285272,0.008910947,0.005795487
2002,9,,,,,20.74188,01-09-2002 00:00,-0.9356914,1.2308273,1.5483309,307.28943,1004.79913,420.25537,0.8222208,301.27924,298.67297,85.77397,3.3748636,0.008393217,0.005693981
2002,10,,,,,39.777348,01-10-2002 00:00,-0.038357437,-0.38385314,0.38593084,84.20862,1009.3977,381.69373,0.4465984,300.20172,296.2027,78.77366,4.0861497,0.002160073,0.005642599
2002,11,,,,,49.5396,01-11-2002 00:00,0.19707572,-1.6320691,1.6440408,96.87645,1011.80457,383.431,0.39961255,296.46368,291.5459,73.87506,3.671946,0.003270667,0.005347578
2002,12,,,,,82.20057,01-12-2002 00:00,0.37128693,-1.3408632,1.3915477,105.48893,1014.1974,372.55548,0.14413297,293.0011,287.0318,68.46059,3.919795,5.03E-05,0.005173154
2003,1,,,,,84.80314,01-01-2003 00:00,0.25063503,-1.8584685,1.8755357,97.68355,1016.12146,334.10962,0.25734788,289.84186,284.1319,69.00327,4.1697097,5.15E-05,0.005344428
2003,2,,,,,56.356552,01-02-2003 00:00,0.4285928,-0.09748989,0.4512991,166.21246,1013.1985,472.8507,0.25293213,296.0312,290.43378,70.7039,4.3523793,0.000590714,0.005426807
2003,3,,,,,29.987038,01-03-2003 00:00,0.55359524,1.1131439,1.2440201,243.73853,1010.0122,569.05865,0.289506,298.75507,292.50552,68.38113,4.972107,0.001984735,0.005849888
2003,4,,,,,16.097578,01-04-2003 00:00,0.2812584,2.65938,2.6761792,264.08,1006.101,632.4055,0.40014923,303.05032,297.82468,73.5986,5.313442,0.003266171,0.005959398
2003,5,,,,,17.428349,01-05-2003 00:00,-0.21506411,2.89116,2.9018016,274.38748,1002.1455,791.8904,0.39492744,304.64178,297.85477,67.31372,5.2999973,0.000832163,0.006101526
2003,6,,,,,15.9529915,01-06-2003 00:00,0.53799605,2.884015,2.937056,259.61194,998.09314,623.8538,0.91379225,303.17093,299.0409,78.57638,3.7086864,0.010288607,0.006060975
2003,7,,,,,8.920655,01-07-2003 00:00,-1.0678854,2.12401,2.3797777,296.7112,1000.45795,500.25488,0.9250133,302.1776,299.32892,84.639565,3.401861,0.009566706,0.00584075
2003,8,,,,,11.085043,01-08-2003 00:00,-1.1474819,1.9135809,2.2340515,300.9488,1000.63416,479.16235,0.8634145,302.21002,299.27197,84.19651,3.6287336,0.007755663,0.005943203
2003,9,,,,,14.985755,01-09-2003 00:00,-0.8831406,1.7402182,1.9548705,296.90387,1003.62634,420.52966,0.88802534,301.67087,298.93756,85.16766,3.3849664,0.006502709,0.005698437
2003,10,,,,,31.289886,01-10-2003 00:00,-0.32561022,0.053359643,0.33187163,350.7404,1009.22095,346.052,0.6688553,300.38153,297.62653,84.926384,3.2983508,0.006532181,0.005511384
2003,11,,,,,63.71937,01-11-2003 00:00,0.7005328,-1.2357464,1.4211588,119.570816,1013.2835,393.66162,0.13218784,296.46234,291.038,71.55922,4.083297,0.000176158,0.005309622
2003,12,,,,,74.249,01-12-2003 00:00,0.34301406,-2.007585,2.0370462,99.709,1015.3819,346.01593,0.25815034,292.52997,287.03583,70.513176,3.5633934,0.001908029,0.005180009
2004,1,,,,,81.350426,01-01-2004 00:00,0.33830303,-1.1638975,1.2127868,106.292336,1014.48114,363.10733,0.1962089,291.52148,286.5458,72.74497,4.060938,6.82E-05,0.005223845
2004,2,,,,,65.39017,01-02-2004 00:00,0.5799002,-0.6385854,0.8654746,132.44687,1012.55505,517.28314,0.10912359,295.23883,287.25403,60.526802,4.6990943,4.40E-05,0.00524174
2004,3,,,,,31.586752,01-03-2004 00:00,0.62171453,1.6911993,1.8023567,249.86833,1008.09656,576.65216,0.18400538,300.62534,293.03497,63.297546,5.416903,0.000257982,0.005570028
2004,4,,,,,15.861253,01-04-2004 00:00,0.2846579,3.1322155,3.1504908,265.0242,1004.70667,654.49976,0.34937137,302.74323,297.4095,73.08837,5.2440925,0.00302402,0.005844121
2004,5,,,,,16.612535,01-05-2004 00:00,0.06137252,3.0363235,3.0381212,268.88858,1001.19965,784.37085,0.4319579,305.0371,298.10428,66.82348,5.2577786,0.002002478,0.005975029
2004,6,,,,,15.807122,01-06-2004 00:00,-0.21208292,2.2215776,2.2335486,275.50616,1000.02454,538.9083,0.8478184,302.80664,299.2475,81.22618,3.7354946,0.009961493,0.005928696
2004,7,,,,,12.97151,01-07-2004 00:00,-0.5000103,2.3354998,2.3904161,282.11517,1000.0249,534.70593,0.963729,302.11218,299.23288,84.47967,3.3764834,0.007449899,0.005845169
2004,8,,,,,18.258406,01-08-2004 00:00,-1.0261288,1.5626373,1.8753498,303.20505,999.1808,431.4342,0.9414504,301.79773,299.2977,86.365746,3.1202106,0.010573965,0.005822345
2004,9,,,,,14.878347,01-09-2004 00:00,-0.13773412,1.3928738,1.4081482,275.77768,1004.4238,423.36304,0.90901303,301.05515,298.59943,86.52366,3.3275254,0.009308632,0.005753674
2004,10,,,,,39.162823,01-10-2004 00:00,-0.28353548,-0.50754184,0.5814179,60.828022,1011.0392,408.15613,0.42113256,299.75125,295.81635,79.01766,3.891409,0.004148332,0.005741617
2004,11,,,,,76.46368,01-11-2004 00:00,0.41656077,-1.4602041,1.5185282,105.92524,1013.42487,457.3192,0.13290042,296.5332,289.88882,66.25996,4.1518183,5.91E-06,0.005609768
2004,12,,,,,80.44359,01-12-2004 00:00,0.21135557,-1.5170643,1.5318259,97.93207,1014.2686,435.2998,0.26779112,294.03687,287.94556,68.12844,3.5114553,1.22E-05,0.005387594
2005,1,,,,,90.06182,01-01-2005 00:00,0.13027048,-1.3766823,1.3831615,95.40073,1014.19666,351.99976,0.2642821,292.21487,286.8798,71.18602,3.8581467,0.000480039,0.005549891
2005,2,,,,,60.90456,01-02-2005 00:00,0.9616759,-0.20091075,0.9854653,168.24225,1012.3353,477.42322,0.18852544,296.75964,289.58975,64.12731,4.7863245,5.40E-05,0.005462254
2005,3,,,,,29.995726,01-03-2005 00:00,0.8950061,1.7654009,1.9798031,243.17056,1009.3188,579.8812,0.28324246,300.41412,294.49158,70.098175,5.115088,0.003009527,0.005851571
2005,4,,,,,20.124073,01-04-2005 00:00,0.6393718,2.5927649,2.6711185,256.17426,1007.7779,664.6776,0.31621838,302.86752,297.239,71.812416,5.6315346,0.001739859,0.006084836
2005,5,,,,,17.33718,01-05-2005 00:00,0.30847257,3.3002758,3.316824,264.7239,1002.88477,734.4464,0.32195836,303.902,298.6944,73.819016,5.2565565,0.002172501,0.006177353
2005,6,,,,,18.986752,01-06-2005 00:00,-0.31291914,3.0704975,3.0898178,275.90424,997.8185,724.93335,0.6883173,304.81897,299.70496,74.38294,4.5088954,0.006282453,0.005971812
2005,7,,,,,10.769658,01-07-2005 00:00,-0.9586544,1.982625,2.2052357,295.813,999.7656,522.6555,0.9062258,301.7755,299.22397,86.10072,3.3706007,0.010462347,0.005841296
2005,8,,,,,27.684189,01-08-2005 00:00,0.42881632,1.7171087,1.772246,256.07788,1000.0156,457.2282,0.94213873,302.32584,299.44025,84.470764,3.6323278,0.006322585,0.005749942
2005,9,,,,,19.426924,01-09-2005 00:00,-0.9554791,0.9348146,1.3373946,315.63745,1004.2273,457.5266,0.898112,301.88263,298.99457,84.41137,3.5771167,0.007625472,0.005701101
2005,10,,,,,30.42137,01-10-2005 00:00,-0.6196009,0.14995484,0.6407649,346.53592,1009.235,347.84222,0.6002024,299.98178,297.40976,85.82276,3.0713546,0.012002043,0.005516012
2005,11,,,,,86.15868,01-11-2005 00:00,0.66861796,-1.669342,1.7986903,111.83444,1012.21783,372.09863,0.25078452,295.7537,289.99933,69.951324,4.200961,2.53E-07,0.005316707
2005,12,,,,,91.999435,01-12-2005 00:00,0.34250873,-2.103752,2.13192,99.24974,1013.3767,336.9984,0.24526149,292.87994,286.55908,66.88851,3.7943666,0.000512479,0.005259582
2006,1,,,,,103.81012,01-01-2006 00:00,0.78424925,-1.5112958,1.7035167,117.41002,1013.8532,311.4148,0.21858966,291.9977,285.31177,65.12421,4.217803,1.79E-05,0.005337401
2006,2,,,,,73.69929,01-02-2006 00:00,0.99324685,0.45286387,1.0960743,204.2393,1011.04156,492.93994,0.08600372,297.86426,290.30927,62.8208,4.9125876,4.74E-06,0.005310792
2006,3,,,,,40.87607,01-03-2006 00:00,0.97056603,0.47161883,1.0807877,205.77084,1008.827,616.0792,0.21649352,300.53952,292.0418,59.797894,5.235633,0.000137724,0.005614822
2006,4,,,,,22.276495,01-04-2006 00:00,0.51144034,2.8195362,2.8669796,259.77948,1005.2862,696.6809,0.3009804,303.00098,297.12015,70.7538,5.4020944,0.000764482,0.006022238
2006,5,,,,,14.540457,01-05-2006 00:00,-0.1270194,2.353733,2.3609319,273.1893,1003.17645,575.5796,0.5160749,302.6677,298.3578,77.66579,4.5487847,0.009164523,0.006189552
2006,6,,,,,25.214815,01-06-2006 00:00,-0.2613172,2.0925665,2.1113682,277.17563,1000.53284,502.2182,0.8742212,302.73627,299.6513,83.52678,3.9760258,0.006279714,0.006052114
2006,7,,,,,17.416952,01-07-2006 00:00,-0.50544393,1.712553,1.793249,286.4585,998.1979,494.7845,0.92377245,302.09274,299.38202,85.324356,3.2233741,0.013201911,0.005978754
2006,8,,,,,15.16282,01-08-2006 00:00,-1.5481548,1.307004,2.0288575,319.8001,1000.0868,556.5652,0.9110042,301.58167,298.8427,85.13071,3.40384,0.007873166,0.005953888
2006,9,,,,,20.796011,01-09-2006 00:00,-0.8850503,1.506815,1.7501818,300.4671,1004.4029,477.78357,0.8002675,301.58282,298.94882,85.66237,3.7142606,0.007667381,0.005851741
2006,10,,,,,50.063675,01-10-2006 00:00,0.1451875,-0.42407864,0.44848192,108.92837,1010.27466,338.3979,0.43454176,300.82962,297.4118,81.66669,4.0986996,0.001563527,0.005742785
2006,11,,,,,75.40997,01-11-2006 00:00,0.4334249,-0.8143357,0.9228224,118.025116,1012.3759,390.86414,0.3812223,297.229,292.08887,72.98399,3.6207094,0.000437787,0.005554341
2006,12,,,,,95.48062,01-12-2006 00:00,0.5921343,-1.3956308,1.5163893,112.996376,1014.55945,394.86176,0.111405075,293.35464,287.213,67.770164,3.7895389,2.55E-06,0.00533937
2007,1,,,,,110.6396,01-01-2007 00:00,0.5414749,-1.2106905,1.3267608,114.10508,1015.39636,350.02185,0.18957901,291.60544,285.0098,65.42885,4.2375464,4.38E-05,0.005362229
2007,2,,,,,74.24658,01-02-2007 00:00,0.2599821,-0.025674164,0.2742971,171.45235,1012.8365,392.80957,0.31502855,295.2788,290.3729,73.72837,4.1011844,0.002836137,0.005676949
2007,3,,,,,45.57892,01-03-2007 00:00,1.0096903,0.5425001,1.1483397,208.12215,1009.822,594.86743,0.16310373,298.9527,291.55756,63.70243,5.367319,0.000292563,0.005674498
2007,4,,,,,15.882764,01-04-2007 00:00,0.6508396,3.1287546,3.1968298,258.3291,1006.3061,679.56616,0.25123793,302.5774,296.97272,71.86214,5.447687,0.003228415,0.006129652
2007,5,,,,,22.699003,01-05-2007 00:00,-0.10811794,1.6508589,1.6556423,273.7988,1002.45264,630.7584,0.4245078,303.96164,298.32642,71.96895,5.2566905,0.001717452,0.006163437
